model,provider,tokens_prompt,tokens_completion,tokens_reasoning,finish_reason,generation_time_ms,cost_total
hearth-70b,Coreline,1778,256,0,stop,3197,1.773056
hearth-70b,NimbusServe,1437,309,0,stop,71880,1.544624
hearth-70b,Coreline,3023,222,5,stop,2238,2.721341
hearth-70b,NimbusServe,1924,332,0,stop,6566,1.981531
hearth-70b,NimbusServe,2685,218,0,stop,5155,2.591417
hearth-70b,Steadfast,2468,373,0,stop,2876,2.611728
hearth-70b,Fastori,2050,338,3,stop,1070,2.300114
hearth-70b,NimbusServe,1903,465,0,stop,6073,2.035849
hearth-70b,Fastori,3301,227,2,stop,1491,3.270606
hearth-70b,NimbusServe,1900,352,4,stop,6334,1.976599
hearth-70b,Coreline,3437,325,2,stop,2736,3.050048
hearth-70b,NimbusServe,1850,363,0,stop,5864,1.851588
hearth-70b,Steadfast,2198,228,4,stop,4091,2.025836
hearth-70b,Fastori,2610,327,0,stop,1827,2.669489
hearth-70b,NimbusServe,2132,326,3,stop,4158,2.151936
hearth-70b,Fastori,1992,387,0,stop,1431,2.295048
hearth-70b,Steadfast,2761,287,3,stop,3299,2.670668
hearth-70b,NimbusServe,2468,361,0,stop,4781,2.499586
hearth-70b,Coreline,1805,329,1,stop,2974,1.734045
hearth-70b,Coreline,1241,245,0,stop,2805,1.219987
hearth-70b,NimbusServe,2668,357,2,stop,6440,2.814077
hearth-70b,Steadfast,3083,319,0,stop,3880,3.176577
hearth-70b,Fastori,3162,223,0,stop,1648,3.167312
hearth-70b,Fastori,2925,315,4,stop,1496,2.675409
hearth-70b,Fastori,2537,252,3,stop,1603,2.643947
hearth-70b,Fastori,1569,332,3,stop,1400,1.745180
hearth-70b,Fastori,3038,321,0,stop,1487,3.148940
hearth-70b,Coreline,2732,274,1,stop,2150,2.481649
hearth-70b,NimbusServe,3307,298,0,stop,115729,3.189726
hearth-70b,Steadfast,3221,351,2,stop,3753,3.407982
hearth-70b,NimbusServe,2801,309,0,stop,6820,3.021546
hearth-70b,Coreline,1956,487,1,stop,2204,2.399024
hearth-70b,Steadfast,2742,350,0,stop,4059,2.509752
hearth-70b,Coreline,2598,269,0,stop,2178,2.718013
hearth-70b,Fastori,3030,290,0,stop,1123,3.202279
hearth-70b,Fastori,2519,254,0,stop,1431,2.321446
hearth-70b,Fastori,1953,389,0,stop,1563,1.944961
hearth-70b,Fastori,3350,248,4,stop,1815,2.999753
hearth-70b,Steadfast,2398,302,0,stop,3592,2.366274
hearth-70b,Fastori,2861,288,6,stop,1576,2.988698
hearth-70b,NimbusServe,3018,385,7,stop,5676,3.146811
hearth-70b,Coreline,3114,247,5,stop,2057,3.101609
hearth-70b,NimbusServe,2732,341,0,stop,6334,2.897446
hearth-70b,Coreline,2263,292,2,stop,2341,2.408401
hearth-70b,NimbusServe,2985,476,4,stop,6121,3.102443
hearth-70b,NimbusServe,1589,456,8,stop,5594,1.984105
hearth-70b,NimbusServe,2956,289,0,stop,67548,3.194909
hearth-70b,Fastori,2166,342,0,stop,1236,2.152044
hearth-70b,Steadfast,2331,259,1,stop,3328,2.508287
hearth-70b,NimbusServe,1667,343,1,stop,6808,1.943889
hearth-70b,Steadfast,2424,418,4,stop,3580,2.568921
hearth-70b,Fastori,2318,302,7,stop,1502,2.424500
hearth-70b,Fastori,2600,271,3,stop,1106,2.515670
hearth-70b,NimbusServe,2607,381,0,stop,74068,2.722819
hearth-70b,NimbusServe,2011,341,0,stop,5589,2.318663
hearth-70b,Fastori,2210,357,4,stop,1478,2.379680
hearth-70b,Steadfast,2411,368,0,stop,4252,2.688250
hearth-70b,Steadfast,2808,302,0,stop,4191,2.535696
hearth-70b,Steadfast,2519,279,4,stop,4283,2.582098
